best_dj2_step0_poor5rich5
eval_cnt fitness r/i/p
16802 8.122185944226228e-13 r
16872 8.120023259961023e-13 r
16953 8.119430312252279e-13 r
17024 8.117796013309624e-13 r
17094 8.117420491022012e-13 r
17185 8.116748326118926e-13 r
17306 8.115037360801975e-13 r
17397 8.114750178615408e-13 r
17518 8.113807283947319e-13 r
17589 8.113045063377656e-13 r
17669 8.112653052409478e-13 r
17780 8.112078178028831e-13 r
17851 8.111360569098846e-13 r
17932 8.109598124794637e-13 r
18002 8.108760207210342e-13 r
18073 8.107767157842926e-13 r
18194 8.106907294337593e-13 r
18275 8.106205588758172e-13 r
18366 8.105795234302802e-13 r
18436 8.104312991500326e-13 r
18517 8.102482245619147e-13 r
18588 8.101259569520083e-13 r
18658 8.100863855398907e-13 r
18739 8.099107222312412e-13 r
18820 8.099044489543036e-13 r
18890 8.098381388708051e-13 r
18961 8.098312634574397e-13 r
19042 8.096867202445097e-13 r
19123 8.095788090226773e-13 r
19254 8.095309053272926e-13 r
19324 8.095178397470418e-13 r
19405 8.094860735087621e-13 r
19476 8.094606278546684e-13 r
19546 8.093772170810601e-13 r
19627 8.09235563579259e-13 r
19708 8.091051679949515e-13 r
19778 8.088906387204156e-13 r
19859 8.088031986925738e-13 r
19950 8.086783190016685e-13 r
20041 8.08510594606831e-13 r
20132 8.085040649701168e-13 r
20202 8.084165902263539e-13 r
20273 8.083704440263088e-13 r
20364 8.083483180761187e-13 r
20444 8.082811843380766e-13 r
20515 8.082608410862522e-13 r
20596 8.08213438066723e-13 r
20677 8.081716370889105e-13 r
20747 8.081266656858377e-13 r
20838 8.079507016684193e-13 r
20909 8.079191827350771e-13 r
20979 8.077511534557863e-13 r
21050 8.076875928061998e-13 r
21121 8.075529751188265e-13 r
21211 8.074624949016349e-13 r
21343 8.073878328798752e-13 r
21423 8.072998188846579e-13 r
21453 2.0023008908709724e-13 r
21524 2.0021348126647187e-13 r
21605 2.0015687863257392e-13 r
21676 2.0012870591202491e-13 r
21756 2.0006840838921532e-13 r
21827 2.0004296979332638e-13 r
21898 2.0001737831249077e-13 r
22009 2.0000696552952114e-13 r
22109 1.9995121336969097e-13 r
22200 1.9994831695719286e-13 r
22311 1.998893167572052e-13 r
22392 1.998449998771659e-13 r
22463 1.9977047018416388e-13 r
22543 1.9976284518751997e-13 r
22624 1.997397742265808e-13 r
22695 1.9968670405319822e-13 r
22786 1.9962483274014876e-13 r
22856 1.9955932253706286e-13 r
22957 1.9954678382197531e-13 r
23028 1.994600704571099e-13 r
23108 1.99415927151754e-13 r
23209 1.993746554302413e-13 r
23300 1.993152934992392e-13 r
23381 1.992950434081845e-13 r
23462 1.9920581136876248e-13 r
23532 1.9914748104454662e-13 r
23603 1.991116876810623e-13 r
23694 1.99094895690389e-13 r
23795 1.9908680279337185e-13 r
23865 1.9908197805285538e-13 r
23936 1.9900681151582507e-13 r
24007 1.9897710382760698e-13 r
24097 1.989464479181972e-13 r
24178 1.9892356377063955e-13 r
24249 1.989071067430961e-13 r
24319 1.9888351028814074e-13 r
24390 1.9880813699060962e-13 r
24461 1.9873338716156712e-13 r
24541 1.9871186268859017e-13 r
24612 1.9867653500934167e-13 r
24683 1.9866517259978838e-13 r
24763 1.986143844212675e-13 r
24864 1.9860001706903974e-13 r
24945 1.9857301922983946e-13 r
25016 1.9853965163213938e-13 r
25096 1.9849489770445798e-13 r
25187 1.9840470258007332e-13 r
25268 1.9839230972768315e-13 r
25349 1.9836855831949267e-13 r
25429 1.9832989044917773e-13 r
25500 1.9829644566185713e-13 r
25507 8.283915836881396e-14 r
25581 8.278902395499675e-14 r
25651 8.275499316025211e-14 r
25722 8.275043121601333e-14 r
25793 8.273302300049013e-14 r
25873 8.270829836430881e-14 r
25954 8.270302700249032e-14 r
26045 8.269863498952189e-14 r
26116 8.266470231242188e-14 r
26186 8.263688097779305e-14 r
26257 8.26154841168756e-14 r
26327 8.257646719606398e-14 r
26408 8.255119729749109e-14 r
26489 8.252701686373013e-14 r
26560 8.250511756188931e-14 r
26630 8.247988724833394e-14 r
26701 8.244668450872169e-14 r
26782 8.239657219424003e-14 r
26852 8.23305404919712e-14 r
26933 8.227692111897912e-14 r
27044 8.227021372937068e-14 r
27115 8.226138252884292e-14 r
27246 8.225105079971502e-14 r
27316 8.225076423250694e-14 r
27387 8.223412957025013e-14 r
27468 8.2203723793568e-14 r
27538 8.21327543591009e-14 r
27609 8.211129521543224e-14 r
27690 8.207950954735761e-14 r
27760 8.205124370489813e-14 r
